Estado,PIB
São Paulo,2.119.854.000
Rio de Janeiro,671.362.000
Minas Gerais,576.199.000
Rio Grande do Sul,423.151.000
Paraná,421.375.000
Santa Catarina,277.192.000
Bahia,268.661.000
Distrito Federal,244.683.000
Goiás,191.899.000
Pernambuco,181.551.000
Pará,155.195.000
Ceará,147.890.000
Mato Grosso,126.805.000
Espírito Santo,113.352.000
Mato Grosso do Sul,96.372.000
Amazonas,93.204.000
Maranhão,89.524.000
Rio Grande do Norte,64.295.000
Paraíba,62.387.000
Alagoas,52.843.000
Piauí,45.359.000
Rondônia,43.506.000
Sergipe,40.704.000
Tocantins,34.102.000
Amapá,15.480.000
Acre,14.271.000
Roraima,12.103.000